age,year,mx
20,2022,0.00026
20,2023,0.00025
20,2024,0.00024
20,2025,0.00024
20,2026,0.00024
20,2027,0.00023
20,2028,0.00023
20,2029,0.00023
20,2030,0.00022
20,2031,0.00022
20,2032,0.00022
20,2033,0.00021
20,2034,0.00021
20,2035,0.00021
20,2036,2e-04
20,2037,2e-04
20,2038,2e-04
20,2039,2e-04
20,2040,0.00019
20,2041,0.00019
20,2042,0.00019
20,2043,0.00018
20,2044,0.00018
20,2045,0.00018
20,2046,0.00018
20,2047,0.00017
20,2048,0.00017
20,2049,0.00017
20,2050,0.00017
20,2051,0.00016
20,2052,0.00016
20,2053,0.00016
20,2054,0.00016
20,2055,0.00016
20,2056,0.00015
20,2057,0.00015
20,2058,0.00015
20,2059,0.00015
20,2060,0.00014
20,2061,0.00014
20,2062,0.00014
20,2063,0.00014
20,2064,0.00014
20,2065,0.00013
20,2066,0.00013
20,2067,0.00013
20,2068,0.00013
20,2069,0.00013
20,2070,0.00012
20,2071,0.00012
20,2072,0.00012
20,2073,0.00012
20,2074,0.00012
20,2075,0.00012
20,2076,0.00011
20,2077,0.00011
20,2078,0.00011
20,2079,0.00011
20,2080,0.00011
20,2081,0.00011
20,2082,0.00011
20,2083,1e-04
20,2084,1e-04
20,2085,1e-04
20,2086,1e-04
20,2087,1e-04
20,2088,1e-04
20,2089,9e-05
20,2090,9e-05
20,2091,9e-05
20,2092,9e-05
20,2093,9e-05
20,2094,9e-05
20,2095,9e-05
20,2096,9e-05
20,2097,8e-05
20,2098,8e-05
20,2099,8e-05
20,2100,8e-05
21,2022,0.00028
21,2023,0.00027
21,2024,0.00026
21,2025,0.00026
21,2026,0.00026
21,2027,0.00025
21,2028,0.00025
21,2029,0.00025
21,2030,0.00025
21,2031,0.00024
21,2032,0.00024
21,2033,0.00024
21,2034,0.00023
21,2035,0.00023
21,2036,0.00023
21,2037,0.00023
21,2038,0.00022
21,2039,0.00022
21,2040,0.00022
21,2041,0.00021
21,2042,0.00021
21,2043,0.00021
21,2044,0.00021
21,2045,2e-04
21,2046,2e-04
21,2047,2e-04
21,2048,2e-04
21,2049,0.00019
21,2050,0.00019
21,2051,0.00019
21,2052,0.00019
21,2053,0.00018
21,2054,0.00018
21,2055,0.00018
21,2056,0.00018
21,2057,0.00018
21,2058,0.00017
21,2059,0.00017
21,2060,0.00017
21,2061,0.00017
21,2062,0.00016
21,2063,0.00016
21,2064,0.00016
21,2065,0.00016
21,2066,0.00016
21,2067,0.00015
21,2068,0.00015
