ssp,age,sex,period,assr,CNTR_CODE,cntr_name
1,Newborn,Male,1950-1955,0.938,AT,Austria
2,30--34,Male,2085-2090,1,AT,Austria
2,40--44,Female,2045-2050,0.998,AT,Austria
3,70--74,Female,2060-2065,0.96,AT,Austria
2,50--54,Male,2010-2015,0.972,AT,Austria
2,60--64,Female,1970-1975,0.922,AT,Austria
3,Newborn,Female,2070-2075,0.999,AT,Austria
3,5--9,Male,2035-2040,1,AT,Austria
3,15--19,Female,1995-2000,0.998,AT,Austria
1,90--94,Male,2010-2015,0.226,AT,Austria
3,25--29,Male,1960-1965,0.99,AT,Austria
2,35--39,Female,2070-2075,1,AT,Austria
2,45--49,Male,2035-2040,0.99,AT,Austria
1,40--44,Male,2065-2070,1,AT,Austria
3,100+,Male,2095-2100,0.048,AT,Austria
2,65--69,Male,1960-1965,0.764,AT,Austria
3,0--4,Male,2060-2065,1,AT,Austria
3,10--14,Female,2020-2025,0.999,AT,Austria
3,20--24,Male,1985-1990,0.993,AT,Austria
1,95--99,Female,1995-2000,0.094,AT,Austria
2,30--34,Female,2095-2100,1,AT,Austria
2,40--44,Male,2060-2065,0.997,AT,Austria
2,50--54,Female,2020-2025,0.989,AT,Austria
3,70--74,Male,2075-2080,0.937,AT,Austria
2,60--64,Male,1985-1990,0.883,AT,Austria
1,70--74,Female,2095-2100,1,AT,Austria
1,80--84,Male,2060-2065,0.92,AT,Austria
3,5--9,Female,2045-2050,1,AT,Austria
1,90--94,Female,2020-2025,0.318,AT,Austria
1,100+,Male,1985-1990,0,AT,Austria
1,0--4,Male,1950-1955,0.991,AT,Austria
2,35--39,Male,2085-2090,1,AT,Austria
2,45--49,Female,2045-2050,0.997,AT,Austria
3,75--79,Female,2060-2065,0.912,AT,Austria
2,55--59,Male,2010-2015,0.954,AT,Austria
2,65--69,Female,1970-1975,0.867,AT,Austria
3,0--4,Female,2070-2075,1,AT,Austria
3,10--14,Male,2035-2040,0.999,AT,Austria
3,20--24,Female,1995-2000,0.998,AT,Austria
1,95--99,Male,2010-2015,0.098,AT,Austria
