ssp,age,sex,year,pop,CNTR_CODE,cntr_name
1,All,Both,1950,6936.4,AT,Austria
2,30--34,Both,1985,493.2,AT,Austria
3,75--79,Both,1995,181.3,AT,Austria
3,85--89,Both,1970,40.4,AT,Austria
2,95--99,Both,2100,329.9,AT,Austria
1,60--64,Both,2065,528.3,AT,Austria
3,40--44,Male,2085,208.9,AT,Austria
2,5--9,Male,2050,201.8,AT,Austria
3,50--54,Male,2060,202.4,AT,Austria
3,60--64,Male,2035,277.9,AT,Austria
3,70--74,Male,2010,161.6,AT,Austria
2,35--39,Male,1975,247.8,AT,Austria
3,80--84,Male,1985,47.6,AT,Austria
3,90--94,Male,1960,1.9,AT,Austria
2,100+,Male,2090,23.4,AT,Austria
1,65--69,Male,2055,307.7,AT,Austria
2,0--4,Female,2065,196,AT,Austria
2,10--14,Female,2040,204.4,AT,Austria
2,20--24,Female,2015,269.7,AT,Austria
1,95--99,Male,1980,0.4,AT,Austria
2,30--34,Female,1990,294.5,AT,Austria
2,40--44,Female,1965,280.8,AT,Austria
1,50--54,Female,2095,208.9,AT,Austria
3,85--89,Female,1975,32.7,AT,Austria
1,60--64,Female,2070,260,AT,Austria
1,70--74,Female,2045,295.7,AT,Austria
1,80--84,Female,2020,153.4,AT,Austria
2,5--9,Both,2060,417,AT,Austria
1,90--94,Female,1995,21.3,AT,Austria
1,100+,Female,1970,0,AT,Austria
1,0--4,Both,1950,516.1,AT,Austria
2,35--39,Both,1985,518.2,AT,Austria
3,80--84,Both,1995,177.1,AT,Austria
3,90--94,Both,1970,9.6,AT,Austria
2,100+,Both,2100,146.6,AT,Austria
1,65--69,Both,2065,556.6,AT,Austria
3,45--49,Male,2085,206.5,AT,Austria
2,10--14,Male,2050,203.4,AT,Austria
3,55--59,Male,2060,205.6,AT,Austria
3,65--69,Male,2035,313.7,AT,Austria
3,75--79,Male,2010,111.8,AT,Austria
2,40--44,Male,1975,216.8,AT,Austria
3,85--89,Male,1985,16,AT,Austria
3,95--99,Male,1960,0.2,AT,Austria
2,All,Female,2090,5082.9,AT,Austria
1,70--74,Male,2055,294.4,AT,Austria
2,5--9,Female,2065,205.3,AT,Austria
2,15--19,Female,2040,212.6,AT,Austria
2,25--29,Female,2015,284.8,AT,Austria
1,100+,Male,1980,0,AT,Austria
2,35--39,Female,1990,250.5,AT,Austria
2,45--49,Female,1965,187,AT,Austria
1,55--59,Female,2095,213,AT,Austria
3,90--94,Female,1975,8.2,AT,Austria
1,65--69,Female,2070,262.9,AT,Austria
1,75--79,Female,2045,333.6,AT,Austria
1,85--89,Female,2020,90.8,AT,Austria
2,10--14,Both,2060,415.9,AT,Austria
1,95--99,Female,1995,3.4,AT,Austria
1,All,Both,1975,7630.3,AT,Austria
1,5--9,Both,1950,560.8,AT,Austria
2,40--44,Both,1985,558.1,AT,Austria
3,85--89,Both,1995,94.8,AT,Austria
3,95--99,Both,1970,1.1,AT,Austria
2,All,Male,2100,5107.3,AT,Austria
1,70--74,Both,2065,628,AT,Austria
3,50--54,Male,2085,213.2,AT,Austria
2,15--19,Male,2050,209.3,AT,Austria
3,60--64,Male,2060,224.4,AT,Austria
3,70--74,Male,2035,288.2,AT,Austria
3,80--84,Male,2010,80.4,AT,Austria
2,45--49,Male,1975,218.4,AT,Austria
3,90--94,Male,1985,3.5,AT,Austria
3,100+,Male,1960,0,AT,Austria
2,0--4,Female,2090,205.5,AT,Austria
1,75--79,Male,2055,253.1,AT,Austria
2,10--14,Female,2065,208.3,AT,Austria
2,20--24,Female,2040,219.5,AT,Austria
2,30--34,Female,2015,295.1,AT,Austria
1,All,Female,1980,4003.4,AT,Austria
2,40--44,Female,1990,259.9,AT,Austria
2,50--54,Female,1965,260.1,AT,Austria
1,60--64,Female,2095,221.3,AT,Austria
3,95--99,Female,1975,1.1,AT,Austria
1,70--74,Female,2070,277.2,AT,Austria
1,80--84,Female,2045,306.8,AT,Austria
1,90--94,Female,2020,48.9,AT,Austria
2,15--19,Both,2060,409,AT,Austria
1,100+,Female,1995,0.2,AT,Austria
1,0--4,Both,1975,508.6,AT,Austria
1,10--14,Both,1950,502.1,AT,Austria
2,45--49,Both,1985,480.7,AT,Austria
3,90--94,Both,1995,27.5,AT,Austria
3,100+,Both,1970,0.1,AT,Austria
2,0--4,Male,2100,218.7,AT,Austria
1,75--79,Both,2065,614.2,AT,Austria
3,55--59,Male,2085,222.9,AT,Austria
2,20--24,Male,2050,224.6,AT,Austria
3,65--69,Male,2060,261.3,AT,Austria
3,75--79,Male,2035,215.8,AT,Austria
3,85--89,Male,2010,38.5,AT,Austria
2,50--54,Male,1975,196.3,AT,Austria
3,95--99,Male,1985,0.5,AT,Austria
3,All,Female,1960,3774.5,AT,Austria
2,5--9,Female,2090,210.4,AT,Austria
